"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.487168600E2,2.094926499E-2,2.274491638E-2,9.910199165E0
2.487188702E2,4.010287672E-2,2.274491638E-2,9.938929558E0
2.487208805E2,4.010287672E-2,1.795651205E-2,9.934141159E0
2.487228908E2,2.094926499E-2,3.711012751E-2,9.934141159E0
2.487249010E2,-2.992752008E-3,1.795651205E-2,9.924564362E0
2.487269113E2,-7.781155407E-3,4.668693244E-2,9.910199165E0
2.487289215E2,-2.992752008E-3,4.189852998E-2,9.905410767E0
2.487309318E2,-2.992752008E-3,2.274491638E-2,9.900622368E0
2.487329421E2,3.052607179E-2,4.668693244E-2,9.919775963E0
2.487349523E2,1.616086066E-2,4.189852998E-2,9.919775963E0
2.487369626E2,3.531447425E-2,4.668693244E-2,9.938929558E0
2.487389728E2,4.489128292E-2,1.795651205E-2,9.938929558E0
2.487409831E2,2.573766746E-2,1.795651205E-2,9.938929558E0
2.487429934E2,1.137245819E-2,2.753331885E-2,9.929352760E0
2.487450036E2,-2.992752008E-3,2.274491638E-2,9.938929558E0
2.487470139E2,-1.735796221E-2,4.189852998E-2,9.891045570E0
2.487490241E2,6.584054790E-3,3.711012751E-2,9.914987564E0
2.487510344E2,-2.992752008E-3,2.753331885E-2,9.919775963E0
2.487530447E2,2.094926499E-2,4.189852998E-2,9.919775963E0
2.487550549E2,2.094926499E-2,1.795651205E-2,9.948506355E0
2.487570652E2,2.573766746E-2,3.711012751E-2,9.948506355E0
2.487590754E2,6.584054790E-3,3.711012751E-2,9.948506355E0
2.487610857E2,6.584054790E-3,3.711012751E-2,9.953294754E0
2.487630960E2,6.584054790E-3,3.232172132E-2,9.938929558E0
2.487651062E2,6.584054790E-3,3.711012751E-2,9.914987564E0
2.487671165E2,-1.735796221E-2,3.232172132E-2,9.905410767E0
2.487691267E2,1.616086066E-2,3.711012751E-2,9.891045570E0
2.487711370E2,2.094926499E-2,3.232172132E-2,9.891045570E0
2.487731473E2,2.573766746E-2,2.274491638E-2,9.929352760E0
2.487751575E2,1.137245819E-2,4.189852998E-2,9.924564362E0
2.487771678E2,2.094926499E-2,1.795651205E-2,9.938929558E0
2.487791780E2,-1.256955881E-2,3.711012751E-2,9.929352760E0
2.487811883E2,-7.781155407E-3,2.274491638E-2,9.910199165E0
2.487831986E2,1.616086066E-2,1.795651205E-2,9.924564362E0
2.487852088E2,1.137245819E-2,5.626374111E-2,9.905410767E0
2.487872191E2,1.137245819E-2,4.189852998E-2,9.910199165E0
2.487892293E2,2.094926499E-2,2.753331885E-2,9.905410767E0
2.487912396E2,3.052607179E-2,4.189852998E-2,9.914987564E0
2.487932499E2,3.052607179E-2,3.711012751E-2,9.943717957E0
2.487952601E2,6.584054790E-3,1.795651205E-2,9.962871552E0
2.487972704E2,1.137245819E-2,1.316810958E-2,9.943717957E0
2.487992806E2,1.795651275E-3,1.316810958E-2,9.948506355E0
2.488012909E2,6.584054790E-3,2.753331885E-2,9.934141159E0
2.488033012E2,6.584054790E-3,2.753331885E-2,9.910199165E0
2.488053114E2,1.795651275E-3,1.795651205E-2,9.910199165E0
2.488073217E2,1.795651275E-3,4.668693244E-2,9.919775963E0
2.488093319E2,1.616086066E-2,3.711012751E-2,9.938929558E0
2.488113422E2,1.137245819E-2,3.232172132E-2,9.934141159E0
2.488133525E2,6.584054790E-3,4.189852998E-2,9.938929558E0
2.488153627E2,-2.992752008E-3,3.711012751E-2,9.948506355E0
2.488173730E2,6.584054790E-3,5.147533491E-2,9.914987564E0
2.488193833E2,1.137245819E-2,3.232172132E-2,9.924564362E0
2.488213935E2,2.094926499E-2,3.711012751E-2,9.895833969E0
2.488234038E2,2.094926499E-2,3.711012751E-2,9.895833969E0
2.488254140E2,3.052607179E-2,4.189852998E-2,9.910199165E0
2.488274243E2,2.094926499E-2,3.232172132E-2,9.929352760E0
2.488294346E2,1.795651275E-3,3.711012751E-2,9.967659950E0
2.488314448E2,6.584054790E-3,2.274491638E-2,9.948506355E0
2.488334551E2,1.616086066E-2,1.795651205E-2,9.938929558E0
2.488354653E2,6.584054790E-3,2.753331885E-2,9.929352760E0
2.488374756E2,6.584054790E-3,3.232172132E-2,9.919775963E0
2.488394859E2,-2.992752008E-3,4.668693244E-2,9.924564362E0
2.488414961E2,-2.992752008E-3,4.189852998E-2,9.914987564E0
2.488435064E2,6.584054790E-3,2.753331885E-2,9.943717957E0
2.488455166E2,1.137245819E-2,2.753331885E-2,9.919775963E0
